time,lat,lon,alt
42.1500,30.332012,-86.396804,21458.51
42.6500,30.330386,-86.395431,21615.06
43.1500,30.328763,-86.394060,21768.99
43.6500,30.327141,-86.392691,21920.07
44.1500,30.325522,-86.391325,22068.72
44.6500,30.323905,-86.389961,22214.65
45.1500,30.322290,-86.388598,22357.87
45.6500,30.320678,-86.387238,22498.67
46.1500,30.319068,-86.385880,22636.72
46.6500,30.317459,-86.384523,22772.15
47.1500,30.315853,-86.383169,22905.16
47.6500,30.314248,-86.381816,23035.45
48.1500,30.312645,-86.380465,23163.15
48.6500,30.311044,-86.379116,23288.44
49.1500,30.309445,-86.377769,23411.04
49.6500,30.307847,-86.376423,23531.07
50.1500,30.306251,-86.375079,23648.69
50.6500,30.304656,-86.373736,23763.68
51.1500,30.303063,-86.372394,23876.07
51.6500,30.301471,-86.371055,23986.06
52.1500,30.299881,-86.369717,24093.50
52.6500,30.298292,-86.368379,24198.32
53.1500,30.296705,-86.367044,24300.72
53.6500,30.295119,-86.365710,24400.64
54.1500,30.293534,-86.364377,24497.95
54.6500,30.291950,-86.363046,24592.78
55.1500,30.290368,-86.361715,24685.20
55.6500,30.288787,-86.360386,24775.06
56.1500,30.287207,-86.359059,24862.37
56.6500,30.285629,-86.357732,24947.28
57.1500,30.284052,-86.356407,25029.73
57.6500,30.282475,-86.355082,25109.60
58.1500,30.280900,-86.353759,25187.00
58.6500,30.279326,-86.352437,25262.02
59.1500,30.277753,-86.351117,25334.52
59.6500,30.276181,-86.349797,25404.48
60.1500,30.274610,-86.348478,25472.02
61.1500,30.271471,-86.345844,25599.77
62.1500,30.268336,-86.343214,25717.59
63.1500,30.265205,-86.340588,25825.64
64.1500,30.262078,-86.337965,25923.83
65.1500,30.258954,-86.335347,26012.26
66.1500,30.255834,-86.332732,26090.88
67.1500,30.252717,-86.330121,26159.76
68.1500,30.249604,-86.327513,26218.86
69.1500,30.246494,-86.324909,26268.23
70.1500,30.243388,-86.322309,26307.85
71.1500,30.240285,-86.319712,26337.78
72.1500,30.237185,-86.317118,26357.97
73.1500,30.234088,-86.314527,26368.49
74.1500,30.230994,-86.311940,26369.29
75.1500,30.227904,-86.309356,26360.46
76.1500,30.224817,-86.306776,26341.91
77.1500,30.221733,-86.304198,26313.75
78.1500,30.218653,-86.301624,26275.90
79.1500,30.215575,-86.299053,26228.48
80.1500,30.212501,-86.296486,26171.37
81.1500,30.209430,-86.293922,26104.71
82.1500,30.206363,-86.291361,26028.39
83.1500,30.203299,-86.288803,25942.54
84.1500,30.200238,-86.286249,25847.07
85.1500,30.197181,-86.283698,25742.07
86.1500,30.194127,-86.281150,25627.50
87.1500,30.191077,-86.278606,25503.42
88.1500,30.188031,-86.276066,25369.81
89.1500,30.184989,-86.273529,25226.70
90.1500,30.181950,-86.270996,25074.12
91.1500,30.178916,-86.268467,24912.05
92.1500,30.175886,-86.265941,24740.58
93.1500,30.172861,-86.263420,24559.64
94.1500,30.169839,-86.260903,24369.36
95.1500,30.166823,-86.258390,24169.66
96.1500,30.163812,-86.255881,23960.64
97.1500,30.160805,-86.253377,23742.31
98.1500,30.157804,-86.250878,23514.68
99.1500,30.154808,-86.248383,23277.83
100.1500,30.151818,-86.245894,23031.76
101.1500,30.148835,-86.243410,22776.52
102.1500,30.145857,-86.240931,22512.18
103.1500,30.142887,-86.238458,22238.76
104.1500,30.139923,-86.235992,21956.32
105.1500,30.136967,-86.233531,21664.94
106.1500,30.134019,-86.231078,21364.67
107.1500,30.131079,-86.228632,21055.58
108.1500,30.128148,-86.226193,20737.75
109.1500,30.125226,-86.223762,20411.28
110.1500,30.122314,-86.221339,20076.26
111.1500,30.119413,-86.218925,19732.78
112.1500,30.116523,-86.216521,19380.96
113.1500,30.113645,-86.214126,19020.92
114.1500,30.110779,-86.211742,18652.80
115.1500,30.107926,-86.209370,18276.75
116.1500,30.105088,-86.207009,17892.92
117.1500,30.102265,-86.204661,17501.49
118.1500,30.099459,-86.202326,17102.65
119.1500,30.096669,-86.200006,16696.62
120.1500,30.093898,-86.197701,16283.61
121.1500,30.091147,-86.195412,15863.88
122.1500,30.088416,-86.193141,15437.69
123.1500,30.085708,-86.190888,15005.35
124.1500,30.083024,-86.188655,14567.17
125.1500,30.080365,-86.186443,14123.49
126.1500,30.077733,-86.184254,13674.69
127.1500,30.075130,-86.182088,13221.16
128.1500,30.072558,-86.179948,12763.35
129.1500,30.070018,-86.177835,12301.70
130.1500,30.067513,-86.175750,11836.72
131.1500,30.065044,-86.173696,11368.93
132.1500,30.062615,-86.171674,10898.87
133.1500,30.060226,-86.169685,10427.09
134.1500,30.057879,-86.167732,9954.09
135.1500,30.055577,-86.165815,9480.36
136.1500,30.053320,-86.163936,9006.40
137.1500,30.051110,-86.162096,8532.69
138.1500,30.048949,-86.160296,8059.74
139.1500,30.046837,-86.158537,7588.03
140.1500,30.044775,-86.156820,7118.04
141.1500,30.042765,-86.155145,6650.24
142.1500,30.040808,-86.153514,6185.09
143.1500,30.038904,-86.151928,5723.01
144.1500,30.037054,-86.150385,5264.42
145.1500,30.035258,-86.148888,4809.71
146.1500,30.033517,-86.147436,4359.24
147.1500,30.031830,-86.146029,3913.35
148.1500,30.030198,-86.144668,3472.35
149.1500,30.028620,-86.143351,3036.50
150.1500,30.027097,-86.142080,2606.07
151.1500,30.025627,-86.140853,2181.25
152.1500,30.024211,-86.139670,1762.24
153.1500,30.022847,-86.138530,1349.19
154.1500,30.021534,-86.137434,942.22
155.1500,30.020272,-86.136379,541.42
156.1500,30.019060,-86.135366,146.87
156.4596,30.018695,-86.135060,26.00
